,question,answer
0,Has anyone used Erlang or Elixir in production? How does it compare to Python or Go?," U02U6J2HZ2P has mentioned that Erlang is well established in telco which are pretty critical systems, and U015BH45ZK6 has mentioned that WhatsApp uses Erlang and that their claims about scalability are ""crazy"". U01FHM4NGDP has also mentioned that Erlang is good for zero-downtime upgrades and abstractions that let a data scientist directly author data pipelines."
1,Is Object Oriented Programming (OOP) terrible when writing software that deals with huge data and has to be performant in complex cloud-native setups? What do people exactly mean when they refer to 'OOP' and 'OOP developers'?," No, Object Oriented Programming (OOP) is not necessarily terrible when writing software that deals with huge data and has to be performant in complex cloud-native setups. When people refer to 'OOP' and 'OOP developers', they usually mean adhering and utilizing the four principles of OOP: encapsulation, abstraction, inheritance, and polymorphism."
2,"How do you track inferences over time for ML observability and what tools do you suggest to use for this? Do these tools support unstructured data like images, voice, and text?"," For tracking inferences over time for ML observability, one could use tools such as WhyLabs, Arize AI, Evidently, MLFlow, Tensorboard, and Alibi Detect. These tools may support unstructured data like images, voice, and text, depending on the particular tool; it would be best to check the features of each tool to see if it would meet one's needs."
3,"Is there a blog or repo with code for a simple model built and deployed in Sagemaker, Kubeflow, and MetaFlow? Any insights on DX differences? Any comparable refarchs available? Any suggestions on good use cases where these tools excel? "," There is a repo on GitHub for deploying to Sagemaker with BentoML: <https://github.com/bentoml/aws-sagemaker-deploy>, as well as a helpful comparison of how to write a very simple workflow using a few different authoring paradigms found in the Ray Project's GitHub repository <https://github.com/ray-project/ray/tree/7d1f408de966f90c95efe5b0cf488e82cd1c6e17/python/ray/workflow/examples/comparisons>. Additionally, there is a blog post and a TDS series available at <https://github.com/jacopotagliabue/post-modern-stack> and <https://towardsdatascience.com/the-post-modern-stack-993ec3b044c1>, respectively. There is also a 3-part series written by <@U01R2314L02> digging into ZenML found at <https://www.fuzzylabs.ai/blog-post/the-road-to-zen-serving-models>. For tools to help with data and model versioning, Pachyderm"
4,"What are some best practices or open source frameworks for caching pre-computed ML predictions, especially for high cardinality use cases that require invalidation and re-triggering on a regular basis?"," Lifecycle policies in S3 (or any other object storage service) can be used to keep data for different periods of time for each client. Other alternatives include using MongoDB, Feast, BigQuery + Firestore, or DynamoDB."
5,What are some examples of ML tooling companies with good documentation?," MLFlow, FastAPI, Django, PyTorch, Diataxis, MLEM, Wallaroo, and Ray."
6,What are the opinions of MLOps.community Slack channel members on TensorFlow Extended (TFX) for model development and productionization and how does it compare to other options?," The members of the MLOps.community Slack channel generally agree that TFX is a good choice if you are heavily invested in the TF ecosystem, but for most people the developer experience is not great and other Cloud provider solutions such as SageMaker, Vertex AI, and Azure ML are better options. There is also a general preference for PyTorch over TensorFlow, as PyTorch offers more model availability and the ability to export to 3rd party formats."
7,"What are the best practices for batch model & online prediction architecture, and what approach should be used for scalable API?"," It is recommended to use a scalable endpoint approach, with request batching, a dedicated endpoint for batch jobs, and a service, deployment, and HPA for auto-scaling. Additionally, using a model or artifact store and standardizing deployment patterns to as few as possible can help with scalability. It is also recommended to use a dashboard and alerting system for managing many models."
8,How do people manage different versioning schemes on their inference services?," People manage different versioning schemes on their inference services by using semantic versioning, a short git sha, and a timestamp. They can also use dummy commits/PRs into their CI flow and remove the semantic versioning from the versioning scheme. Additionally, they can use nvidia-docker to manage different versions of tensorflow/pytorch dependencies around cuda & cudnn locally on their DGX machine, and they can define the version (runtime) of the model server they’d like to have in the inferenceservice spec."
9,How do you determine whether or not you are able to reproduce models?," You can compare the model files using a hashsum, compare all weights and biases and layers of the model, or log all hyperparameters that goes into your framework."
10,What were the best MLOps conferences/events attended this year and why?," People mentioned the MLOps Salon events put on by Verta, the Dask Distributed Summit, ODSC, MLOps World, MLOps Community streaming platform, MLOps Conference, and MLCon by cnvrg. Reasons given included getting external speakers to talk about real-world use cases, high-quality speakers talking about practical examples, and relaxing their policy against corporate speech."
11,What are the challenges faced and recommendations for alternatives for building an end-to-end MLOps engine with Kubeflow and AWS?," The challenge with building an end-to-end MLOps engine with Kubeflow and AWS is that Kubeflow is made up of multiple interconnected pieces with varying levels of maturity and development. The uncertainty of various pieces of the system, such as MLDL, makes it difficult to use long-term effectively without an incredibly capable k8s and MLOps infra team. Alternatives could include Seldon for model serving, Determined, ClearML, Airflow, Pachyderm, DVC, MLFlow, Kale on Jupyter Notebooks, Kserve, AWS Services, Argo Workflows, and the AI Infrastructure Alliance."
12,"Are there any published benchmarks for the compute (cpu/gpu) needed by trained models in production such as spacy, mt5, and bert?"," Yes, MLCommons has training and inferencing benchmarks they run, including for BERT."
13,"When deploying Tensorflow models, is there a reason not to convert to TFLite and use their runtime? Is it faster even if not using edge devices?"," It is possible to make a lighter image and potentially run things faster even if not using an edge device, although the TF Lite comes with a subset of operators compared with the full version. Additionally, there is a chance of performance improvement when using ONNX conversion."
14,What are the best practices for version controlling Jupyter Notebooks?," The best practices for version controlling Jupyter Notebooks include using nbdime for version control, papermill for parameterizing and running notebooks like a script, writing normal packages that can be version controlled and importing the functions from those packages into notebooks, using jupytext to open .py files as notebooks, and treating notebooks as temporal and the script versioned in github as the source of truth."
15,Are there any ML/MLOps/Engineering summer schools that are engineer focused for people that are not in academia? ," Yes, there is Full-stack Deep Learning: <https://fullstackdeeplearning.com/>. It's a hands-on, less-theoretical course on deep learning, including the ops stuff _around_ model building and deployment. It was last held in autumn 2022 and was $400, though they offered some scholarships if that price point was out of one’s budget."
16,"What are the best practices for logging, monitoring, and alerting with microservices and what are the critical things to log, monitor, and alert for initial deployment of microservices?"," Best practices for logging, monitoring, and alerting with microservices include standardizing metrics and log formats in a language-agnostic way, logging everything you want to set metrics and alerts on, and logging model inputs and outputs to assess accuracy later. Critical things to log, monitor, and alert for initial deployment of microservices include failure points in dependent services and user interaction with edge-deployed models."
17,"Has anyone written or come across detailed lists of what MLOps engineer would require? Model deployment is a broad category, and we’re looking for something more targeted, perhaps inference resource management."," U017CCHCW8K has compiled the MLE curriculum in a Google Document, and U02UDUTS919 suggested an article by Google Cloud which lays out the step-by-step process of bringing MLOps."
18,"Is pyspark/spark still necessary for analytics on big data or are there alternative tools like Redshift, Snowflake and BigQuery? What are the downsides of other solutions compared to spark?"," Spark is still necessary for many use cases, such as stream processing and really big data pipelines. Dask and Ray are alternatives, but they can be too brittle and immature. Spark has an advantage of being well known and adopted, so it's easier to find answers and hire people to support it. Other solutions like Redshift and BigQuery can be better for data transformation, but they aren't suitable for long running jobs or complex transformations."
19,Is it feasible to use DVC as a data/model repo and stream models into memory for microservices in k8s? Is there a recommended way to fetch the latest committed model in PR?," Yes, it is feasible to use DVC as a data/model repo and stream models into memory for microservices in k8s. There are a few ways to fetch the latest committed model in PR, such as using `dvc get`, `dvc.api`, or `git clone` + `dvc pull mode.plk`."
20,What are some other signals worth watching regarding the pullback on funding for Cloud ML products and where does Pitchbook get their data from?, I don't know.
21,"When working with large image datasets for computer vision, what are the benefits and drawbacks of running augmentations in memory vs. in a pipeline with the results stored in S3?"," The major benefits for computing beforehand and storing are:
• Extremly fast during training
• Reduced computational load (less RAM/CPU/GPU power required)
The main drawbacks there are:
• May need a lot of storage
• Only N fixed versions per sample
For online computation it’s the other way around.
Pro:
• A lot more potential diversity (especially when combining many transforms)
• No need to store them all (when combining many transforms, you potentially have a huge N -&gt; Need a lot of storage (~Nx your dataset)
Con:
• Takes significantly longer (especially if your transforms are costly. E.g. medical image computing with 3D image interpolation is very costly, whereas 2D transforms can be better parallelized and if applied with sufficient processes are only a minor bottleneck if at all)
• Higher ressource demand (except for storage ofc)"
22,What are some good resources for scaling inference workloads on multiple GPUs using Kubernetes clusters or other solutions?," Search for ray, deepspeed, hugging face accelerate, Horovod, and Efficiently Scaling Transformer Inference (https://arxiv.org/pdf/1807.05358.pdf). Additionally, Nvidia Triton Servers and Runai Atlas may be helpful."
23,What are the pros and cons of using Dask to run data pipelines for ML compared to using Spark?," The pros of using Dask to run data pipelines for ML compared to using Spark are that it is more easily usable for the target ML scientist, has a lower learning curve, is easier to troubleshoot and tune, and is more software developer friendly with branching, local development, and debugging. The cons of using Dask to run data pipelines for ML compared to using Spark are that it is not as well known as Spark, it may be harder to find answers to complex errors, and it may not be as well suited to long running jobs or complex transformations."
24,What's the general way to answer if a model can run with a particular runtime?," Docker-based deployments cover most use cases, since you can bundle pretty much whatever runtime you want in the image."
25,Has anyone set up distributed multi-node GPU training in Pytorch using torch elastic? Are there any resources or performance benchmark analysis available? Any insights on using Horovod?, U020ZV0UHL5 has set up distributed multi-node GPU training in Pytorch using torch elastic and has shared a blog post about it. They have also shared insights on using Horovod. U020ZV0UHL5 has also published a docker image and shared a repo URL. There are no specific resources or performance benchmark analysis available.
26,Is there an open-source platform/tool that allows defining on-demand scoring flows?," Seldon Core has the concept of inference graphs allowing you to write custom inference logic including splititng out pre-processing and post-processing, ensembling models, routing etc."
27,Are successful DS/MLEs expected to be more proficient with coding and ops than normal SWEs?," It depends. Some ML code is simpler than SWE code, but there are also areas such as concurrency, fault tolerance, and system architecture where SWEs may have more experience. Ultimately, the proficiency of DS/MLEs and SWEs can vary depending on the situation."
28,What model serving tools would you recommend for quickly deploying multiple ML models into production with flexibility for custom preprocessing?," KfServing (part of KubeFlow), TensorFlow Serving Server (part of TensorFlow), AWS Lambda, GCP Cloud Run or Cloud Functions, Azure Functions, Algorithmia, and Huggingface."
29,"What are the experiences and thoughts of users heavily using or evaluating AWS SageMaker, and what tools have they found useful and where did they find value? Are there any gaps or issues requiring tools outside of the AWS ecosystem?"," Users heavily using or evaluating AWS SageMaker have found custom algorithm training to be annoying, experiment tracking not built in, documentation to be decent but hit or miss, endpoint inference to be clunky based on ECS running on EC2 with servers running 24x7x365 with load balancing using ASG, and deployment to be basic with nothing fancy in terms of graphs or deployment patterns. They have also noted that there is no data lineage tracking like DVC and model lineage is built but model registry is not existent. Additionally, they have found working with custom script to be a nightmare and that users need to do a huge amount of testing before invoking the estimator or else they will not get results but still pay the billable seconds. Gaps or issues that require tools outside of the AWS ecosystem include experiment tracking, data lineage tracking, and model registry."
30,"Has anyone used serverless GPU providers like banana.dev, slai.io or any other serverless GPU provider for production use cases? Would like to connect/chat to understand more about how you are using it."," People have mentioned Paperspace and LambdaLabs, and GenesisCloud has been mentioned as well. People have also used big cloud providers (AWS, GCP) and Colab for prototyping."
31,"What options are available for improving a machine vision application's generic pipeline consisting of image retrieval from cameras, running algorithms, storing images, sending data to a visualization platform, etc.?"," Options for improving a machine vision application's generic pipeline include using FastAPI, dockerizing tasks, using profilers to pinpoint problem areas, reorganizing the base image to reduce build time, and using Docker stats for resource monitoring."
32,What should be the standard practice when deploying your model weights with Docker and what are the common mistakes people make when downloading or baking their model weights?, The standard practice when deploying model weights with Docker is to bake them into the Docker image and/or a Python package. Common mistakes people make when downloading or baking their model weights include not using a standard way of packaging software for distribution and not having a versioned way to keep track of the models being used.
